    Ps have (part) atoms    1.0000
lysine catabolism    Lysine catabolism occurs almost exclusively in the liver    0.7873
lysis    Lysis is to break down or dissolve    0.7096
lysis protein    Lysis protein causes the lysis of the host cell and the release of colicins    0.8232
lysogenic bacteria    Lysogenic bacteria produce toxin when levels of iron in the blood drop    0.8427
lysogenic phage    Lysogenic phages resemble bacterial genetic particles known as episomes     0.7683
lysophosphatidic acid    Lysophosphatidic acid induces urokinase secretion by ovarian cancer cells    0.8147
lysosomal enzyme    Lysosomal enzymes are necessary in the catabolism of the lipids of myelin and neurons    0.8411
lysosomal fusion    Lysosomal fusion is a calcium dependent process    0.8035
lysosome    Lysosome isa organelle    1.0000
lysozyme    Lysozyme destroys cell wall of gram-positive bacteria    0.8166
lytic replication    Lytic replication occurs in a subpopulation of infected spindle and haematopoietic cells    0.7334
m    M isa unit    1.0000
m phase    M phase is the final stage of the cell cycle    0.7727
m. tuberculosis    M tuberculosis is the agent that causes tuberculosis in humans    0.7968
ma    Mas have (part) cell membranes    1.0000
maar    Maars are volcanic basins formed by single explosive eruptions    0.7011
mac    Macs are used for play    1.0000
macadamia    Macadamias are nut trees    1.0000
macadamia nut    A macadamia nut is a nut    1.0000
macaque monkey    Macaque monkeys eat fruit, flowers, seeds, bark, leaves, shrimp, and insects    0.8023
macaque mother    Macaque mothers respond to offspring    1.0000
macaque rhesus    Macaque rhesus thrives in native habitats    1.0000
macaroni    Macaronis are located in supermarkets    1.0000
macaroni penguin    Macaroni penguins have predators    1.0000
macaroon    A macaroon is a biscuit    1.0000
macaw    Macaws occupy areas    1.0000
macaw diet    Macaw diets consist of meals    1.0000
mace    Maces have (part) human bodies    1.0000
maceration    Maceration is the period during which the juice is left in contact with the red grape skins    0.7374
machine    Machines are used for cooks    1.0000
machine code    Machine code is source code    1.0000
machine gun    Machine guns are located in armies    1.0000
machine language    Machine language is artificial language    1.0000
machine screw    Machine screws are screws    1.0000
machine shop    Machine shops are workshops    1.0000
machine tool    Machine tools are devices used to manufacture other machines    0.7176
machine translation    Machine translations are artificial intelligence    1.0000
machinery    Machinery is powered by motors    1.0000
machinist    Machinists are craftsmans    1.0000
macho    A macho is a male    1.0000
macintosh    Macintoshs are computers    1.0000
mackerel    Mackerels have long, tapered bodies and forked tails    0.8010
mackerel shark    A mackerel shark is a shark    1.0000
mackinaw    Mackinaws are blankets    1.0000
macrame    Macrames are lace    1.0000
macro    Macros are instruction    1.0000
macro algae    Macro algae refers to multicellular species    0.7728
macro virus    Macro viruses are computer viruses    1.0000
macroalgal bloom    Macroalgal blooms can alter types and numbers of animals living in sediments - benthic animals    0.7559
macrobenthic organism    Macrobenthic organisms are small animals without a backbone which live on or in bottom habitats    0.8378
macrocyclic ligand    Macrocyclic ligands are well known for their ability to bind metal cations    0.7379
macrocytic anemia    Macrocytic anemia is anemia    1.0000
macroevolution    Macroevolution isa phylogeny    1.0000
macroglossia    A macroglossia is a congenital abnormality    1.0000
macromolecular interaction    Macromolecular interactions are by weaker noncovalent bonds    0.7459
macromolecule    Macromolecules are large molecules made up from small sub-units    0.8071
macrophage    Macrophages are white blood cells and they exist everywhere in the body    0.8454
macrozamia    A macrozamia is a cycad    1.0000
macula    A macula is a patch    1.0000
macula degeneration    Macula degeneration is characterized by loss of central vision, usually in both eyes    0.7614
macular amyloidosis    Macular amyloidosis is a pruritic eruption that is variable in severity    0.7095
macular degeneration    Macular degeneration is a group of chronic diseases which cause breakdown of the macular tissues    0.7676
macular edema    Macular edema can occur with blockages of veins in the eye    0.7909
macular hole    Macular holes affect the central part of the retina    0.8116
macular pigment    Macular pigment is composed of the carotenoids lutein and zeaxanthin    0.8470
macule    A macule is a patch    1.0000
mad cow    Mad cow is a neurological disease that destroys the brain    0.7376
mad scientist    Mad scientists complete experiments    1.0000
madagascan roach    Madagascan roaches are nocturnal, meaning they are most active at night    0.7628
madagascar cockroach    Madagascar cockroaches live up to years    1.0000
madagascar day gecko    Madagascar day geckos have toes    1.0000
madagascar periwinkle    Madagascar periwinkles have flowers    1.0000
madagascar vanilla bean    Madagascar vanilla beans have flavor    1.0000
madam    Madams have (part) necks    1.0000
madame    Madames have (part) heads    1.0000
madder    A madder is a seed plant    1.0000
madman    A madman is a sufferer    1.0000
madness    Madness is insanity    1.0000
madrigal    A madrigal is a song    1.0000
maestro    Maestros are musicians    1.0000
mafic mineral    Mafic minerals are chiefly black, brown, dark gray and sometimes green    0.7153
mafic rock    Mafic rocks contain more iron and magnesium than felsic rocks    0.7013
mag    A mag is a publication    1.0000
magazine    Magazines are located in dentists    1.0000
magazine article    Magazine articles are part of magazines    1.0000
magenta    Magenta is red    1.0000
maggot    Maggots are the larval form of flies and are found in many habitats    0.8112
magic    Magic is religious rituals    1.0000
magic bullet    A magic bullet is a cure    1.0000
magic lantern    A magic lantern is a slide projector    1.0000
magic mushroom    A magic mushroom is a plant organ    1.0000
magic pen    Magic pens use ink    1.0000
magic realism    Magic realism is a genre    1.0000
magic spell    A magic spell is a speech    1.0000
magic square    A magic square is a square matrix    1.0000
magic trick    A magic trick is performance    1.0000
magical force    Magical forces generate power    1.0000
magical power    Magical power is ability    1.0000
magician    Magicians do tricks    1.0000
magistrate    Magistrates are judges    1.0000
magma    Magmas are rocks    1.0000
magmatic mineral    Magmatic minerals crystallize from magma, lava, or gases and are found in igneous rock    0.7819
magnanimity    A magnanimity is generosity    1.0000
magnate    A magnate is a businessman    1.0000
magnesium    Magnesium keeps calcium soluble, preventing calcium deposits in areas such as the kidneys    0.7539
magnesium carbonate    Magnesium carbonate is an additive for lubricants    0.8075
magnesium chloride    Magnesium chloride is used as a supplement to maintain adequate magnesium in the body    0.7120
magnesium citrate    Magnesium citrate is also an easily absorbed form of magnesium    0.7624
magnesium hydroxide    Magnesium hydroxide is a general purpose food additive    0.7937
magnesium intake    Magnesium intake increases bone mineral density    1.0000
magnesium oxide    Magnesium oxide is one form in which the element magnesium occurs naturally in the earth    0.8272
magnesium peroxide    Magnesium peroxide is chemical compounds    1.0000
magnesium phosphate    Magnesium phosphate is used to fireproof wood used in construction    0.7985
magnesium sulfate    Magnesium sulfate is extremely soluble in water    0.8241
magnesium therapy    Magnesium therapy improves functions    1.0000
magnetic bacteria    Magnetic bacteria use the properties of a magnetic field in order to migrate magnetically    0.7644
